有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3703　欣陸,108/09/19,"388,995","5,773,274",14.90,14.95,14.80,14.80,-0.05,198
3703　欣陸,108/09/20,"1,309,731","19,409,229",14.80,14.95,14.75,14.75,-0.05,396
3703　欣陸,108/09/23,"1,174,924","17,320,823",14.80,14.80,14.70,14.80,+0.05,285
3703　欣陸,108/09/24,"426,034","6,286,900",14.80,14.85,14.70,14.80, 0.00,149
3703　欣陸,108/09/25,"1,377,728","20,214,573",14.70,14.75,14.60,14.70,-0.10,517
3703　欣陸,108/09/26,"2,226,538","32,400,926",14.70,14.70,14.45,14.50,-0.20,797
3703　欣陸,108/09/27,"1,841,766","26,414,003",14.45,14.50,14.20,14.25,-0.25,521
3703　欣陸,108/10/01,"712,322","10,238,084",14.25,14.45,14.25,14.40,+0.15,196
3703　欣陸,108/10/02,"460,365","6,677,572",14.35,14.55,14.35,14.50,+0.10,187
3703　欣陸,108/10/03,"244,696","3,541,590",14.50,14.50,14.40,14.50, 0.00,123
3703　欣陸,108/10/04,"343,886","5,009,447",14.50,14.65,14.50,14.55,+0.05,173
3703　欣陸,108/10/07,"434,012","6,355,524",14.60,14.70,14.60,14.65,+0.10,194
3703　欣陸,108/10/08,"298,250","4,384,460",14.65,14.75,14.65,14.65, 0.00,169
3703　欣陸,108/10/09,"276,811","4,048,648",14.60,14.70,14.60,14.60,-0.05,116
3703　欣陸,108/10/14,"539,559","7,925,787",14.65,14.75,14.65,14.70,+0.10,220
3703　欣陸,108/10/15,"463,478","6,824,873",14.70,14.75,14.65,14.65,-0.05,152
3703　欣陸,108/10/16,"785,343","11,580,120",14.65,14.85,14.65,14.85,+0.20,491
3703　欣陸,108/10/17,"1,523,833","22,889,550",14.85,15.15,14.85,15.00,+0.15,495
3703　欣陸,108/10/18,"2,142,056","32,369,790",15.05,15.15,14.95,15.15,+0.15,348
3703　欣陸,108/10/21,"1,468,742","22,369,425",15.20,15.30,15.15,15.25,+0.10,390
3703　欣陸,108/10/22,"600,251","9,123,748",15.25,15.30,15.10,15.20,-0.05,200
3703　欣陸,108/10/23,"755,508","11,315,743",15.20,15.20,14.90,15.00,-0.20,278
3703　欣陸,108/10/24,"660,800","9,915,088",15.00,15.05,14.90,15.05,+0.05,232
3703　欣陸,108/10/25,"468,424","7,038,830",15.10,15.10,14.95,15.00,-0.05,155
3703　欣陸,108/10/28,"357,011","5,355,962",15.00,15.05,14.95,15.00, 0.00,95
3703　欣陸,108/10/29,"694,847","10,424,259",15.00,15.10,14.95,14.95,-0.05,148
3703　欣陸,108/10/30,"288,084","4,314,804",14.95,15.00,14.95,15.00,+0.05,144
3703　欣陸,108/10/31,"434,514","6,504,532",15.05,15.05,14.95,15.00, 0.00,118
3703　欣陸,108/11/01,"890,013","13,423,145",15.05,15.15,15.00,15.05,+0.05,224
3703　欣陸,108/11/04,"1,205,936","18,311,631",15.05,15.35,15.05,15.05, 0.00,303
3703　欣陸,108/11/05,"696,713","10,526,614",15.15,15.15,15.05,15.15,+0.10,137
3703　欣陸,108/11/06,"391,779","5,925,370",15.15,15.20,15.05,15.10,-0.05,102
3703　欣陸,108/11/07,"652,152","9,860,130",15.10,15.15,15.05,15.05,-0.05,124
3703　欣陸,108/11/08,"292,467","4,416,525",15.15,15.15,15.05,15.10,+0.05,103
3703　欣陸,108/11/11,"355,538","5,332,166",15.10,15.10,14.95,14.95,-0.15,139
3703　欣陸,108/11/12,"444,699","6,651,148",14.95,15.05,14.90,15.00,+0.05,166
3703　欣陸,108/11/13,"295,016","4,412,888",14.95,15.00,14.90,14.95,-0.05,120
3703　欣陸,108/11/14,"4,982,374","67,404,147",13.55,13.65,13.50,13.50,-1.45,953
3703　欣陸,108/11/15,"2,209,171","29,501,787",13.15,13.50,13.15,13.40,-0.10,616
3703　欣陸,108/11/18,"2,245,750","29,683,659",13.35,13.45,13.10,13.20,-0.20,622
3703　欣陸,108/11/19,"2,622,366","34,051,958",13.20,13.20,12.90,12.95,-0.25,678
3703　欣陸,108/11/20,"1,338,656","17,323,007",12.95,13.15,12.80,13.10,+0.15,440
3703　欣陸,108/11/21,"4,095,048","54,454,876",13.20,13.45,13.05,13.10, 0.00,"1,125"
3703　欣陸,108/11/22,"407,567","5,355,776",13.10,13.20,13.05,13.15,+0.05,163
3703　欣陸,108/11/25,"806,198","10,662,891",13.15,13.30,13.10,13.25,+0.10,341
3703　欣陸,108/11/26,"7,758,131","94,605,017",13.20,13.25,13.15,13.15,-0.10,256
3703　欣陸,108/11/27,"2,846,421","37,050,523",13.10,13.10,12.90,13.00,-0.15,670
3703　欣陸,108/11/28,"566,786","7,414,168",13.05,13.15,12.95,13.10,+0.10,207
3703　欣陸,108/11/29,"768,449","10,018,813",13.10,13.15,12.95,13.00,-0.10,218
3703　欣陸,108/12/02,"474,449","6,148,739",13.00,13.00,12.90,12.95,-0.05,150
3703　欣陸,108/12/03,"612,350","7,992,800",12.95,13.15,12.90,13.05,+0.10,222
3703　欣陸,108/12/04,"474,700","6,167,934",13.00,13.05,12.95,13.00,-0.05,183
